terp105rzlcracxe9r32h8flpn4kpw8waqueqrprtcn 29062059903ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 63375147243upersyx, 49000000uterp 1114103uterpx
terp126jdyc74p70ahzrf3wvaka7hmeke8g2n6m720s 22108474194ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 38390887127upersyx, 100000000uterp 232834uterpx
terp152074zlxfd42cxlyq09asy4za20w58pqvnx7fp 2411470108ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 266228494191upersyx, 99900000000uterp 9262158uterpx
terp180hsn543nxwe4u8y6mzg6ptmjujfql4reedsvs 186489319994ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 194716226946upersyx, 98000000uterp 2660733uterpx
terp184utpxxzlgalyk9nlavxcg8fvpqctft28xv87l 266068744312ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 129572501532upersyx, 97804098uterp 2288630uterpx
terp18nnsladek2kmlshfhvn69y0s2vxcas4gl3xfkt 31315778207ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 10780547874upersyx, 9990000uterp 18739uterpx
terp19an8qfwwtgl5r65u90fjhx5dulj7fklwaq8h3w 16375152540ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 991682upersyx,8000000uterpx
terp1dc3usgqvtkaar3j8t0g44zfedn6achcr9zupwm 1751237000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 100001000000upersyx,100010000000uterpx
terp1eff25w2su9zxhe9lzea65l9xyptv8saxr9x7ck 20363248626ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 925348309142upersyx, 999879767334uterp 11392738uterpx
terp1fxccvvhhy43tvet2ah7jqwq4cwl9k3dxmww052 900000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 9600000upersyx,30990000uterpx
terp1hfqlpl2ukf93g5sm7h2q5pyejav6tztnxrupax 1034854910098ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1j0747rcwr5sp2n28uvmg75lmtk97zrjfuhj3g9 457507000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1keu4upjzy5t4wj422gdhuld0rjkm4c9y7dzqws 556553085ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 27214668335upersyx, 49940478uterp 2443uterpx
terp1n3e4c8rdhdflrtuse0muapdy4tl7qrmxvc8yag 59582063359ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 33389982278upersyx, 9990000uterp 74786uterpx
terp1p22py95vep90n3wajc3hqa9q7x8zgjeewlsh53 100000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1p6906xu66zet86hne5z3m6lrekc29gw8f9vw0k 419291000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 10000000uterpx
terp1qeam6a9cy4n8ul98sx8730u0zaysq99e2nzmpd 261578000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1sent6yyh3eg42g85wry0dc2egnsu9mvw9j79ww 1168325000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1skeqnjwmjpv50n5lak2kzj6ujz59gu4m6ashlr 93447321000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 118531073396upersyx, 46000000uterp 14314676uterpx
terp1syqau7gee27ml462flvjhxucer6zdy7pvw7a95 20945014436ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 21986873239upersyx, 9990000uterp 85656uterpx
terp1t076ukjx9t5wm8w292a3qxfkk0pf75tynd77t7 70356310000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  500000010000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E
terp1u3k2zsdecxfvf2edp66cq7e85rnnm3qhzpclsxg7tjgzduhva2ws3lrj2n 899000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1v3wjkc94lpq5g7k26d9y87ehh36fm4mx5waggp 13492000100ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 12573215015upersyx, 99800100uterp 25984uterpx
terp1vu7uwtln4wknjd09sctp52yddm4nvtz09pmf0g 352316047015ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1whnc4s5qqe3uwsvpqk9qeyr999p7zq44qt97g5 16385688029ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 7399335661upersyx, 9980010uterp 12243uterpx
terp1xg93g0tx0wnt5weg7x7xmnvlh6setx2me7vtdw 5229001002ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 3809922364upersyx, 9490500uterp 506946uterpx
terp1y2euvdy8rvtr989tyf0u9atttt8yxa73qmqlem 54192928689ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 68172282118upersyx, 5000000uterp 97253uterpx
terp1y2mzu78ldpz56a0w0fkr0pe8gur7qzpjmpyuvg 145455003019ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1yq24hhsnt2dhzuf2uj7gyqx24nf2g3u22sdymw 15601105000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1yyds5g9fh46xkd40yy0e98hz5jn8q7m0znfz6r 13523830413ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 41534695083upersyx, 9890100uterp 222833uterpx
terp1zvtaz8l9xysxr6cpcuswvqclzyjarfq9tqq8n4 59026300000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp13w9zq85yuk8jud83h2qncrzlsfq9s48kyws33r 13737820000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000514ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 94267681093upersyx, 11189500uterp 91821uterpx
terp15wvgq0gg9vz77ymz6lzr38707td39mgsweud3p 3311111000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  420000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E
terp19fm339n2rw3qpvw0g429h0v8lkyr7erfz24hxc 115222801038ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  42998960990ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 28655414428upersyx, 9990000uterp 1361720uterpx
terp19u539q85fun7nax92w853gcqtl74kr0egvnyxq 9093985200ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2990000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 1213314707252upersyx, 10000000000uterp 888981189349uterpx
terp1etx55kw7tkmnjqz0k0mups4ewxlr324tjlur54 42478838972ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 57511106115upersyx, 100000000uterp 10544286uterpx
terp1f0mcq9xl0dvcuk2kr6z6ph7jx30lvjfrvmhr58 210305117395ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  1000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 82600763731upersyx, 1098998001uterp 327524024142uterpx
terp1msy6yyvdarw0uftvqzupgw9ug80hgaghl74fve 13546000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 56042050410upersyx, 1436677uterp 28447uterpx
terp1rwyn6w46u3067enhpdceqasg2um8dddtt5ursa 63153263889ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2089766162ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 75747593841upersyx, 1000000uterp 28969173uterpx
terp1uc52al69sqxa76r5qea5yct9lwszng8zfnhnmc 41248225591ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2001001369ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 266090543692upersyx, 4420000uterp 10190864uterpx
terp1y64wre98vqyfldmg626x0g34hll7ksdh3lgpum 44520230000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 1090638952977upersyx, 996460883860uterp 145339197uterpx
terp1zhweh0qv72twxf3s22dpg23w9f2vzelmcum3au 27992425527ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000042517ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 27847717233upersyx, 9990000uterp 1039683uterpx
terp18p96kyqjsa030a2jghaxv7jzcgzh7x7tzpvah3 20ibc/833AC65209BA8EDA03604FBE1BD34A07B378F02910D54B7CDA7225CAC68ADEDD 1907132uthiolx,1990076uterpx
